Contract title,Suppliers name,Buyer name,Buyer parent, Total amount ,Procurement method,Start date,End date, Contract amount ,Contract currency,Source,QQW Link
Fianza de Fidelidad Global por un monto total unico asegurado de 300 000.00,Afianzadora ASERTA S.A. de C.V.,DIRECCIÓN GENERAL DE ADMINISTRACIÓN Y FINANZAS,INSTITUTO NACIONAL DE LAS MUJERES," $28,881.40 ",direct,2015-04-22T00:00:00.000Z,2015-12-31T00:00:00.000Z," $28,881.40 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/005/15,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F005%2F15
Fianza de Fidelidad Global por un monto total asegurado de 300 000.00,Afianzadora Aserta S.A. de C.V. Grupo Financiero Aserta,DIRECCIÓN GENERAL DE ADMINISTRACIÓN Y FINANZAS,INSTITUTO NACIONAL DE LAS MUJERES," $29,856.87 ",direct,2012-04-23T00:00:00.000Z,2012-12-31T00:00:00.000Z," $29,856.87 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/004/12,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F004%2F12
"Fianza de Fidelidad Global, por un monto total asegurado de $300,000.00","AFIANZADORA ASERTA, S.A. DE C.V., GRUPO FINANCIERO ASERTA",Dirección General de Administración y Finanzas,Instituto Nacional de las Mujeres," $29,856.87 ",direct,2012-04-23T00:00:00.000Z,2012-12-31T00:00:00.000Z," $29,856.87 ",MXN,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=185967,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SA-006HHG001-N76-2012
"Fianza de Fidelidad Global, por un monto total unico asegurado de $300,000.00","AFIANZADORA ASERTA, S.A. DE C.V., GRUPO FINANCIERO ASERTA",Dirección General de Administración y Finanzas,Instituto Nacional de las Mujeres," $28,881.40 ",direct,2015-04-22T00:00:00.000Z,2015-12-31T00:00:00.000Z," $28,881.40 ",MXN,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=542515,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-AA-006HHG001-N47-2015
Se obliga a proporcionar al INSTITUTO una Fianza de Fidelidad Globlal.,Afianzadora Sofimex S.A.,DIRECCIÓN GENERAL DE ADMINISTRACIÓN Y FINANZAS,INSTITUTO NACIONAL DE LAS MUJERES," $31,757.00 ",direct,2013-01-29T00:00:00.000Z,2013-12-31T00:00:00.000Z," $31,757.00 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/001/13,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F001%2F13
Fianza de Fidelidad Global para el personal del INSTITUTO.,Afianzadora SOFIMEX S.A. de C.V.,DIRECCIÓN GENERAL DE ADMINISTRACIÓN Y FINANZAS,INSTITUTO NACIONAL DE LAS MUJERES," $21,407.00 ",direct,2016-05-30T00:00:00.000Z,2016-12-31T00:00:00.000Z," $21,407.00 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/022/16,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F022%2F16
SIMP/001/13,"AFIANZADORA SOFIMEX, S.A.",Dirección General de Administración y Finanzas,Instituto Nacional de las Mujeres," $31,757.00 ",direct,2013-01-29T00:00:00.000Z,2013-12-31T00:00:00.000Z," $31,757.00 ",MXN,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=245551,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SA-006HHG001-N43-2013
Contratación de una fianza de fidelidad para el personal del Instituto Nacional de las Mujeres.,"AFIANZADORA SOFIMEX, S.A.",Dirección General de Administración y Finanzas,Instituto Nacional de las Mujeres," $21,407.00 ",direct,2016-05-30T00:00:00.000Z,2016-12-31T00:00:00.000Z," $21,407.00 ",MXN,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=879177,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-AA-006HHG001-E47-2016
Servicio de Inserción de banner para la difusión del informe de Gobierno a través de medios de comunicación digitales.,Agencia Integral Capital MX S.A. de C.V.,DIRECCIÓN GENERAL ADJUNTA DE COMUNICACIÓN SOCIAL Y CAMBIO CULTURAL,INSTITUTO NACIONAL DE LAS MUJERES," $50,000.00 ",direct,2013-08-27T00:00:00.000Z,2013-09-13T00:00:00.000Z," $50,000.00 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/032/13,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F032%2F13
Servicio de Inserción de banner para la difusión del informe de Gobierno a través de medios de comunicación digitales.,Aissa María García García,DIRECCIÓN GENERAL ADJUNTA DE COMUNICACIÓN SOCIAL Y CAMBIO CULTURAL,INSTITUTO NACIONAL DE LAS MUJERES," $50,000.00 ",direct,2013-08-27T00:00:00.000Z,2013-09-13T00:00:00.000Z," $50,000.00 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/023/13,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F023%2F13
Servicio de difusión en medios digitales para la campaña en busca de la igualdad en sus diferentes versiones.,AISSA MARÍA GARCÍA GARCÍA,DIRECCIÓN GENERAL ADJUNTA DE COMUNICACIÓN SOCIAL Y CAMBIO CULTURAL,INSTITUTO NACIONAL DE LAS MUJERES," $43,103.45 ",direct,2017-06-30T00:00:00.000Z,2017-07-15T00:00:00.000Z," $43,103.45 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/018/17,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F018%2F17
Servicio de difusión en medios digitales para la campaña Prevención del Embarazo No Planeado e Infecciones de Transmisión Sexual en Adolescentes versión: Es tu vida es tu futuro. Hazlo seguro versión Embarazo que será coemitida con la Secretaría de Gobernación (SEGOB)-Consejo Nacional de la Población (CONAPO),AISSA MARÍA GARCÍA GARCÍA,DIRECCIÓN GENERAL DE ADMINISTRACIÓN Y FINANZAS,INSTITUTO NACIONAL DE LAS MUJERES," $43,103.45 ",direct,2016-11-18T00:00:00.000Z,2016-12-15T00:00:00.000Z," $43,103.45 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/032/16,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F032%2F16
l servicio en medios digitales para la campaña En busca de la igualdad versión: Por tus derechos 3,Aissa María García García,DIRECCIÓN GENERAL ADJUNTA DE COMUNICACIÓN SOCIAL Y CAMBIO CULTURAL,INSTITUTO NACIONAL DE LAS MUJERES," $34,482.76 ",direct,2016-02-29T00:00:00.000Z,2016-03-31T00:00:00.000Z," $34,482.76 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/007/16,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F007%2F16
"Servicio de monitoreo, seguimiento y evaluación al desempeño del equipo tutorial y sistematización de resultados de los cursos en línea impartidos en 2015",ALEJANDRA BENITEZ SILVA,Dirección General de Administración y Finanzas,Instituto Nacional de las Mujeres," $96,982.76 ",direct,2015-08-11T00:00:00.000Z,2015-12-30T00:00:00.000Z," $96,982.76 ",MXN,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=620319,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-AA-006HHG001-N112-2015
Servicio de monitoreo seguimiento y evaluación al desempeño del equipo tutorial y sistematización de resultados de los cursos en línea impartidos en 2015.,Alejandra Benítez Silva,DIRECCIÓN GENERAL DE INSTITUCIONALIZACIÓN DE LA PERSPECTIVA DE GÉNERO,INSTITUTO NACIONAL DE LAS MUJERES," $96,982.76 ",direct,2015-08-11T00:00:00.000Z,2015-12-30T00:00:00.000Z," $96,982.76 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=INMUJERES/078/15,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-INMUJERES%2F078%2F15
Se obliga a entregar al INSTITUTO los bienes correspondiente a Prendas de Protección Personal,Alejandra Contreras Reyes,DIRECCIÓN GENERAL DE ADMINISTRACIÓN Y FINANZAS,INSTITUTO NACIONAL DE LAS MUJERES," $64,411.68 ",direct,2015-05-13T00:00:00.000Z,2015-05-31T00:00:00.000Z," $64,411.68 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=INMUJERES/044/15,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-INMUJERES%2F044%2F15
"Se obliga a entregar al “INSTITUTO” los bienes, correspondiente a Prendas de Protección Personal",ALEJANDRA CONTRERAS REYES,Dirección General de Administración y Finanzas,Instituto Nacional de las Mujeres," $64,411.68 ",direct,2015-05-13T00:00:00.000Z,2015-05-31T00:00:00.000Z," $64,411.68 ",MXN,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=549834,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-AA-006HHG001-N60-2015
PULSERAS DE TELA COLOR MORADO DE LALEYENDA DE LA CAMPAÑA A SIETE HILOS.,ALFREDO RAMÍREZ DURÁN,DIRECCIÓN GENERAL ADJUNTA DE COMUNICACIÓN SOCIAL Y CAMBIO CULTURAL,INSTITUTO NACIONAL DE LAS MUJERES," $23,000.00 ",direct,2007-10-22T00:00:00.000Z,2007-11-21T00:00:00.000Z," $23,000.00 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/018/07,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F018%2F07
Servicio de Inserción de banner para la difusión del informe de Gobierno a través de medios de comunicación digitales.,ALFREDO VILLAGRÁN Y ARÉVALO,DIRECCIÓN GENERAL ADJUNTA DE COMUNICACIÓN SOCIAL Y CAMBIO CULTURAL,INSTITUTO NACIONAL DE LAS MUJERES," $25,000.00 ",direct,2013-08-27T00:00:00.000Z,2013-09-13T00:00:00.000Z," $25,000.00 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/061/13,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F061%2F13
Incremento en el rango de extensiones para el Sistema de Administración Teléfonica Suite Intertel de 250 a 500 extensiones con número de serie IT0004726 y Plan de Mantenimiento Anual para el Sistema de Administración Telefonica Suite Intertel para un rango de 500 extensiones con número de serie IT0004726.,ALHERTEL S.A. DE C.V.,DIRECCIÓN GENERAL DE ADMINISTRACIÓN Y FINANZAS,INSTITUTO NACIONAL DE LAS MUJERES," $24,494.67 ",direct,2008-04-30T00:00:00.000Z,2008-12-31T00:00:00.000Z," $24,494.67 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/005/08,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F005%2F08
Servicios para desempeñarse como tutora en línea del Curso Básico en género que ofrecerá la Dirección de Capacitación y Profesionalización durante el ejercicio fiscal 2011,Alma Rosalía Flores Ángeles,DIRECCIÓN GENERAL DE INSTITUCIONALIZACIÓN DE LA PERSPECTIVA DE GÉNERO,INSTITUTO NACIONAL DE LAS MUJERES," $72,413.76 ",direct,2011-04-05T00:00:00.000Z,2011-11-30T00:00:00.000Z," $72,413.76 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=INMUJERES/015/11,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-INMUJERES%2F015%2F11
Servicios para desempeñarse como tutora en línea del Curso Básico en Género que ofrecerá la Dirección de Capacitación y Profesionalización durante el ejercicio 2012.,Alma Rosalía Flores Ángeles,DIRECCIÓN GENERAL DE INSTITUCIONALIZACIÓN DE LA PERSPECTIVA DE GÉNERO,INSTITUTO NACIONAL DE LAS MUJERES," $51,724.12 ",direct,2012-03-08T00:00:00.000Z,2012-09-30T00:00:00.000Z," $51,724.12 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=INMUJERES/048/12,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-INMUJERES%2F048%2F12
PORTAFOLIO EN LONA POLIESTER ALTA RESISTENCIA,ALORCE PRODUCCIONES SA DE CV,DIRECCIÓN GENERAL DE INSTITUCIONALIZACIÓN DE LA PERSPECTIVA DE GÉNERO,INSTITUTO NACIONAL DE LAS MUJERES," $51,450.00 ",direct,2009-08-07T00:00:00.000Z,2009-08-28T00:00:00.000Z," $51,450.00 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/016/09,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F016%2F09
Servicios Profesionales para Diseñar e Ilustrar Elementos Digitales para los Objetos de Aprendizaje del Material Digital de la Dirección de Capacitación y Profesionalización,ALVARO ROCHA BUITRON,Dirección General de Administración y Finanzas,Instituto Nacional de las Mujeres," $43,103.45 ",direct,2011-04-05T00:00:00.000Z,2011-07-29T00:00:00.000Z," $43,103.45 ",MXN,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=154569,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SA-006HHG001-N8-2011
Servicios para diseñar e ilustrar elementos digitales para los objetos de aprendizaje del material digital de la Dirección de Capacitación y Profesionalización que se alojarán en el Sistema de Gestión del Aprendizaje,Álvaro Rocha Buitrón,DIRECCIÓN GENERAL DE INSTITUCIONALIZACIÓN DE LA PERSPECTIVA DE GÉNERO,INSTITUTO NACIONAL DE LAS MUJERES," $43,103.45 ",direct,2011-04-05T00:00:00.000Z,2011-07-29T00:00:00.000Z," $43,103.45 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=INMUJERES/035/11,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-INMUJERES%2F035%2F11
"Servicios profesionales para desempeñarse como tutora en linea del Curso de Poresupuestos Públicos con Perspectiva de Género: 'El Género en la Programación y Presupuestación Pública', cuyo objetivo es orientar y evaluar el proceso de aprendizaje",AMELIA ZAPATA ROJAS,Dirección General de Administración y Finanzas,Instituto Nacional de las Mujeres," $86,206.85 ",direct,2012-07-25T00:00:00.000Z,2012-10-30T00:00:00.000Z," $17,241.37 ",MXN,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=185879,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SA-006HHG001-N105-2012
Servicios profesionales para desempeñarse como tutora en línea del Curso de presupuestos públicos con perspectiva de género: El Género en la Programación y Presupuestación Pública cuyo objetivo es orientar y evaluar el proceso de aprendizaje de las y los participantes de dicho curso,Amelia Zapata Rojas,DIRECCIÓN GENERAL DE INSTITUCIONALIZACIÓN DE LA PERSPECTIVA DE GÉNERO,INSTITUTO NACIONAL DE LAS MUJERES," $17,241.37 ",direct,2012-07-25T00:00:00.000Z,2012-10-30T00:00:00.000Z," $17,241.37 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=INMUJERES/080/12,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-INMUJERES%2F080%2F12
Servicio de Inserción de banner para la difusión del informe de Gobierno a través de medios de comunicación digitales.,AMH Publimedios S.A. de C.V.,DIRECCIÓN GENERAL ADJUNTA DE COMUNICACIÓN SOCIAL Y CAMBIO CULTURAL,INSTITUTO NACIONAL DE LAS MUJERES," $50,000.00 ",direct,2013-08-27T00:00:00.000Z,2013-09-13T00:00:00.000Z," $50,000.00 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/040/13,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F040%2F13
Servicio de Inserción de banner para la difusión del informe de Gobierno a través de medios de comunicación digitales.,Analisis y Comunicación Integral Asesores en Prensa Relaciones Publicas y Publicidad S.A. de C.V.,DIRECCIÓN GENERAL ADJUNTA DE COMUNICACIÓN SOCIAL Y CAMBIO CULTURAL,INSTITUTO NACIONAL DE LAS MUJERES," $25,000.00 ",direct,2013-08-27T00:00:00.000Z,2013-09-13T00:00:00.000Z," $25,000.00 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/065/13,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F065%2F13
MATERIAL ELECTRICO Y ELECTRONICO,ANTONIO BRUNO PROCOPIO,DIRECCIÓN GENERAL DE ADMINISTRACIÓN Y FINANZAS,INSTITUTO NACIONAL DE LAS MUJERES," $69,565.22 ",direct,2009-04-02T00:00:00.000Z,2009-12-31T00:00:00.000Z," $69,565.22 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=INMUJERES/107/09,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-INMUJERES%2F107%2F09
MATERIAL ELECTRICO Y ELECTRONICO,ANTONIO BRUNO PROCOPIO,Subdirección de Recursos Materiales,INSTITUTO NACIONAL DE LAS MUJERES," $69,565.22 ",direct,2009-04-02T00:00:00.000Z,," $69,565.22 ",MXN,http://web.compranet.gob.mx:8000/pls/hist/C2InvDirSus.detalle?vv_Cladep=06104&vv_ClaUni=1&vv_NumInv=0090&vv_AnoInv=2009&vv_TipInv=D&vv_NumCon=INMUJERES/107/09&vv_provsino=0,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-06104001-090-09
Servicio de Inserción de banner para la difusión del informe de Gobierno a través de medios de comunicación digitales.,Arcadia Comunicaciones S.A. de C.V.,DIRECCIÓN GENERAL ADJUNTA DE COMUNICACIÓN SOCIAL Y CAMBIO CULTURAL,INSTITUTO NACIONAL DE LAS MUJERES," $25,000.00 ",direct,2013-08-27T00:00:00.000Z,2013-09-13T00:00:00.000Z," $25,000.00 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/103/13,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F103%2F13
Servicio de Inserción de banner para la difusión del informe de Gobierno a través de medios de comunicación digitales.,Argonméxico Agencia Informativa S.C.,DIRECCIÓN GENERAL ADJUNTA DE COMUNICACIÓN SOCIAL Y CAMBIO CULTURAL,INSTITUTO NACIONAL DE LAS MUJERES," $50,000.00 ",direct,2013-08-27T00:00:00.000Z,2013-09-13T00:00:00.000Z," $50,000.00 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP/031/13,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP%2F031%2F13
Adquisición de Memorias USB acabado en piel sintética frente 23 mm alto 85mm profudidad 16 mm peso 30 2 gb en 1x1 impresión,ARIEL ISRAEL HERNÁNDEZ FERRUSCO,DIRECCIÓN GENERAL DE INSTITUCIONALIZACIÓN DE LA PERSPECTIVA DE GÉNERO,INSTITUTO NACIONAL DE LAS MUJERES," $92,720.00 ",direct,2011-06-01T00:00:00.000Z,2011-06-10T00:00:00.000Z," $92,720.00 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=SIMP-005-11,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SIMP-005-11
SERVICIOS DE LA DIFUSION DE MENSAJES SOBRE PROGRAMAS Y ACTIVIDADES GUBERNAMENTALES ASI COMO LA INSERCION Y PUBLICACIONES DE ARTICULOS INSTITUCIONALES PROPIOS DE LA OPERACION DEL INSTITUTO,ARTES GRÁFICAS EN PERIÓDICO S.A. DE C.V.,DIRECCIÓN GENERAL ADJUNTA DE COMUNICACIÓN SOCIAL Y CAMBIO CULTURAL,INSTITUTO NACIONAL DE LAS MUJERES," $86,953.52 ",direct,2007-02-19T00:00:00.000Z,2007-12-31T00:00:00.000Z," $86,953.52 ",MXN,http://www.portaltransparencia.gob.mx/buscador/search/search.do?method=search&siglasDependencia=&searchBy=1&query=INMUJERES/024/07,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-INMUJERES%2F024%2F07
Servicios Profesionales para Realizar la Programación de Actividades Animaciones,ARTURO RESENDIZ VAZQUEZ,Dirección General de Administración y Finanzas,Instituto Nacional de las Mujeres," $97,413.79 ",direct,2011-04-06T00:00:00.000Z,2011-07-29T00:00:00.000Z," $97,413.79 ",MXN,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=154574,https://www.quienesquien.wiki/contratos/ocds-0ud2q6-SA-006HHG001-N7-2011
